## These are FWS and pvmsp1 clustering data for the OM samples Deen sequenced
## pvmsp1 was clustered on 4 February
Sample	Fws	Max_percent	moi_pvmsp1_clones_gt_10%
OM012	0.9677492	0.908	1
OM015	0.9655117	0.27	2
OM018	0.6618878	0.246	4
OM032	0.6970892	0.248	3
OM044	0.9630509	0.197	2
OM046	0.9638601	0.257	4
OM076	0.7716811	0.4	3
OM078	0.8994544	0.738	2
OM092	0.9216974	0.955	1
OM093	0.7837816	1	1
OM099	0.9812062	1	1
OM115	0.5371242	0.646	3
OM118	0.965471	0.945	1
OM141	0.6662601	0.445	2
OM142	0.4809919	0.461	2
OM143	0.6584775	0.631	2
OM146	0.9804283	1	1
OM164	0.9618837	1	1
OM192	0.722044	0.971	1
OM208	0.5341538	0.517	2
OM214	0.9219401	0.945	1
OM220	0.9676588	0.936	1
OM236	0.9670442	NA	NA
OM244	0.6577558	0.896	2
OM245	0.7456975	NA	NA
OM269	0.9414728	1	1
OM270	0.6714687	0.593	2
OM271	0.9740171	0.993	1
OM273	0.9675365	1	1
OM275	0.9726403	0.973	1
OM282	0.7460596	0.711	1
OM283	0.8576761	0.725	2
OM284	0.7422779	0.619	2
OM292	0.9606779	1	1
OM296	0.9555635	1	1
OM299	0.9565367	0.857	2
OM300	0.7957051	0.927	1
OM302	0.9610551	1	1
OM304	0.5717613	0.36	3
OM305	0.9629051	1	1
OM310	0.4505963	0.842	2
OM312	0.6188333	0.53	2
OM313	0.9628382	1	1
OM314	0.9602483	1	1
OM317	0.9715235	1	1
OM322	0.2747536	0.301	4
OM339	0.7116385	0.734	2
OM342	0.961686	1	1
OM345	0.6568756	0.736	2
OM346	0.7111831	NA	NA
OM354	0.5489216	NA	NA
OM355	0.4147775	NA	NA
