chr	locus	nsl
4	531138	3.21954
7	384302	3.10618
11	1200705	3.02463
13	2550178	2.92411
6	1093476	2.8714
14	610371	2.80583
6	825473	2.73004
9	203308	2.65684
12	124649	2.65171
13	639213	2.5972
2	374197	2.58889
3	361403	2.5713
13	1775996	2.56304
1	226924	2.50515
9	513729	2.4892
5	217896	2.48013
8	1128859	2.46106
12	498943	2.44666
2	650531	2.38356
10	1251593	2.35442
1	530463	2.34757
14	1292960	2.3406
13	1419448	2.32974
11	792550	2.32295
5	911398	2.28861
4	809579	2.25964
3	657140	2.25301
14	3124514	2.19287
12	1492104	2.1805
8	476310	2.1748
