chr	locus	nsl
14	797870	6.20328
10	351691	4.45315
14	1650897	4.38878
4	577543	4.21453
2	85446	3.99689
3	368737	3.96372
13	396427	3.8046
11	1900445	3.58088
12	2421187	3.57835
11	749030	3.54943
9	1693066	3.527
14	1002439	3.51511
9	1506397	3.40304
13	676297	3.3926
5	1303321	3.29873
6	574362	3.29624
9	1252731	3.29291
12	1706798	3.27497
10	71751	3.23017
12	2097346	3.14908
7	1162438	3.11472
8	693372	3.08182
6	357656	3.0685
7	934541	3.05696
3	555487	2.98143
12	682829	2.98013
12	434999	2.97983
5	947219	2.96544
3	877703	2.96343
10	1305927	2.9305
